,knode_name,stochastic,observed,subj,node,tag,depends,hidden,subj_idx,gain,loss,rt,response,mean,std,2.5q,25q,50q,75q,97.5q,mc err,map
t_subj.20,t_subj,True,False,True,t_subj.20,(),['subj_idx'],False,20,,,,,0.8436692763371992,0.0175212401977446,0.8056857547274436,0.8332619845092137,0.8449246779637927,0.8562108737060586,0.8733673796238671,0.0003983368695013558,0.8693749745370839
t_subj.22,t_subj,True,False,True,t_subj.22,(),['subj_idx'],False,22,,,,,0.44345842233864485,0.013016739322335389,0.4136883746384339,0.43585521046680115,0.4446181445667651,0.45266841176141204,0.46528315667065345,0.0002788167070551782,0.4722389095902293
t_subj.24,t_subj,True,False,True,t_subj.24,(),['subj_idx'],False,24,,,,,0.7016847362085002,0.018064797047915266,0.6646292140109098,0.6900576721730151,0.7021898086855568,0.7144365169203821,0.7345125486197636,0.0005698248263076355,0.7503262954062044
t_subj.26,t_subj,True,False,True,t_subj.26,(),['subj_idx'],False,26,,,,,0.8583196498470064,0.01803371155556468,0.8175538922325358,0.8477826672339173,0.8600839448702597,0.8709696528051803,0.8880657421606151,0.00038177852118135815,0.8865323654209972
t_subj.30,t_subj,True,False,True,t_subj.30,(),['subj_idx'],False,30,,,,,0.8225275903071161,0.013013065758430456,0.7954987811055266,0.8139790631265779,0.8230881888318519,0.8317370298724186,0.8460875708995277,0.00035609292499479513,0.843224118801465
t_subj.32,t_subj,True,False,True,t_subj.32,(),['subj_idx'],False,32,,,,,0.8728527859694286,0.01379823963437347,0.8425049268934999,0.864015225327771,0.8738076141736886,0.8826709777245084,0.8966405945123135,0.00033106701917410576,0.9010976397956401
t_subj.36,t_subj,True,False,True,t_subj.36,(),['subj_idx'],False,36,,,,,0.5509963514312708,0.01531514335976146,0.5176383371527944,0.5413870955093036,0.5522315277662138,0.5619697726987162,0.5768848880149011,0.0003683753600675117,0.5684810366103571
t_subj.38,t_subj,True,False,True,t_subj.38,(),['subj_idx'],False,38,,,,,0.6815544330603225,0.010773681689643563,0.6583315712494067,0.6746065850320707,0.6824985347180206,0.689156026772622,0.7000781707510967,0.0002433040195166862,0.6977959803091989
t_subj.40,t_subj,True,False,True,t_subj.40,(),['subj_idx'],False,40,,,,,0.8337629705310753,0.015444551057084612,0.8005514812235293,0.8239601925713441,0.8346185813205743,0.8443928226773911,0.8615349704108052,0.00039142330282259947,0.8662973065169893
t_subj.44,t_subj,True,False,True,t_subj.44,(),['subj_idx'],False,44,,,,,0.6871018856401943,0.009048767294511238,0.66674299991782,0.681612588348363,0.6878945229550816,0.6935623600638114,0.7021479956302107,0.0002000748212905717,0.6978639288381306
